system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,latitude,longitude,.geo
1_278,0.23125000298023224,0.16410000622272491,0.2658500075340271,0.11755000054836273,0.07774999737739563,0.058649998158216476,0.1132500022649765,0.16474999487400055,-0.40253231686793717,0.16719799890545348,Semey,0.5697303414344788,1,50.55705815195303,80.86731096278707,"{""type"":""Point"",""coordinates"":[80.86731096278707,50.55705815195303]}"
1_280,0.22804999351501465,0.2232999950647354,0.2459000051021576,0.1737000048160553,0.1096000000834465,0.09529999643564224,0.14419999718666077,0.18825000524520874,-0.2607024027654355,0.04019892257135369,Semey,0.3009013235569,1,50.538930122742336,80.79702580650302,"{""type"":""Point"",""coordinates"":[80.79702580650302,50.538930122742336]}"
1_284,0.18170000612735748,0.17835000157356262,0.18934999406337738,0.13134999573230743,0.07440000027418137,0.0689999982714653,0.11490000039339066,0.17069999873638153,-0.24470006582223813,0.13027645662861678,Semey,0.3749765157699585,1,50.53777468992282,80.75343210579206,"{""type"":""Point"",""coordinates"":[80.75343210579206,50.53777468992282]}"
1_285,0.19709999859333038,0.19384999573230743,0.21085000038146973,0.148049995303154,0.0714000016450882,0.0674000009894371,0.1257999986410141,0.1768999993801117,-0.252636275025729,0.08878290367438933,Semey,0.34141919016838074,1,50.42167880816595,80.63980576029304,"{""type"":""Point"",""coordinates"":[80.63980576029304,50.42167880816595]}"
1_287,0.18469999730587006,0.195250004529953,0.19050000607967377,0.14869999885559082,0.07249999791383743,0.06965000182390213,0.11509999632835388,0.1851000040769577,-0.24672777865573486,0.10904734841695699,Semey,0.3557751178741455,1,50.43362467442171,80.88177943386073,"{""type"":""Point"",""coordinates"":[80.88177943386073,50.43362467442171]}"
1_308,0.21494999527931213,0.19779999554157257,0.23704999685287476,0.14869999885559082,0.07954999804496765,0.06350000202655792,0.11994999647140503,0.16940000653266907,-0.32801121168397984,0.06507389917146547,Semey,0.3930851221084595,1,50.51660721106029,80.83312736342883,"{""type"":""Point"",""coordinates"":[80.83312736342883,50.51660721106029]}"
1_310,0.22190000116825104,0.19165000319480896,0.22550000250339508,0.14364999532699585,0.11540000140666962,0.08375000208616257,0.14409999549388885,0.17790000140666962,-0.22023811539659263,0.10651533642540348,Semey,0.3267534375190735,1,50.50093970768023,80.95659103567293,"{""type"":""Point"",""coordinates"":[80.95659103567293,50.50093970768023]}"
1_312,0.15410000085830688,0.1606999933719635,0.1701499968767166,0.1151999980211258,0.04430000111460686,0.04470000043511391,0.0823500007390976,0.15045000612735748,-0.34772276026397897,0.13269342200547807,Semey,0.4804161787033081,1,50.456757005806985,80.66471070360946,"{""type"":""Point"",""coordinates"":[80.66471070360946,50.456757005806985]}"
1_317,0.17305000126361847,0.19335000216960907,0.1835000067949295,0.14169999957084656,0.09700000286102295,0.08955000340938568,0.11959999799728394,0.17315000295639038,-0.21082153674478313,0.09988884590471984,Semey,0.3107103705406189,1,50.52903032859541,80.75370747020817,"{""type"":""Point"",""coordinates"":[80.75370747020817,50.52903032859541]}"
1_325,0.1972000002861023,0.1408499926328659,0.22540000081062317,0.09510000050067902,0.07079999893903732,0.04495000094175339,0.11069999635219574,0.16294999420642853,-0.34126749606267515,0.26293352101309186,Semey,0.6042010188102722,1,50.59570143706108,80.88312392543395,"{""type"":""Point"",""coordinates"":[80.88312392543395,50.59570143706108]}"
1_327,0.16089999675750732,0.18115000426769257,0.18199999630451202,0.13300000131130219,0.0640999972820282,0.07114999741315842,0.08765000104904175,0.15485000610351562,-0.3498980017854868,0.07590760545204925,Semey,0.42580559849739075,1,50.53468800200417,80.9141704540206,"{""type"":""Point"",""coordinates"":[80.9141704540206,50.53468800200417]}"
1_331,0.15479999780654907,0.15015000104904175,0.1578499972820282,0.10215000063180923,0.08654999732971191,0.0767500028014183,0.097850002348423,0.1843000054359436,-0.2346499609711373,0.286786535395303,Semey,0.5214365124702454,1,50.503704786290925,80.8538045885626,"{""type"":""Point"",""coordinates"":[80.8538045885626,50.503704786290925]}"
1_334,0.17794999480247498,0.1436000019311905,0.20565000176429749,0.0982000008225441,0.0737999975681305,0.0649000033736229,0.09825000166893005,0.15105000138282776,-0.3534057218889278,0.21203610869675102,Semey,0.5654418468475342,1,50.62636446595351,80.82025393770324,"{""type"":""Point"",""coordinates"":[80.82025393770324,50.62636446595351]}"
1_341,0.1826999932527542,0.16990000009536743,0.19619999825954437,0.11905000358819962,0.06080000102519989,0.051500000059604645,0.10239999741315842,0.1683499962091446,-0.3141326262750542,0.17153790068096078,Semey,0.4856705367565155,1,50.473029947454734,80.95372956275014,"{""type"":""Point"",""coordinates"":[80.95372956275014,50.473029947454734]}"
1_346,0.18709999322891235,0.16120000183582306,0.20180000364780426,0.12250000238418579,0.08129999786615372,0.06459999829530716,0.11219999939203262,0.1529500037431717,-0.2853503292622713,0.11054638112771357,Semey,0.39589670300483704,1,50.591447826635985,80.70947754614149,"{""type"":""Point"",""coordinates"":[80.70947754614149,50.591447826635985]}"
1_347,0.14880000054836273,0.12425000220537186,0.1623000055551529,0.08375000208616257,0.04520000144839287,0.03725000098347664,0.07329999655485153,0.15494999289512634,-0.37775894823101996,0.2982823305653817,Semey,0.676041305065155,1,50.59906500360805,80.78249046134961,"{""type"":""Point"",""coordinates"":[80.78249046134961,50.59906500360805]}"
1_354,0.14300000667572021,0.17949999868869781,0.15150000154972076,0.12860000133514404,0.05299999937415123,0.059450000524520874,0.08730000257492065,0.16175000369548798,-0.26884421216881965,0.1141725565213839,Semey,0.38301676511764526,1,50.65336109771945,80.79510526246031,"{""type"":""Point"",""coordinates"":[80.79510526246031,50.65336109771945]}"
1_367,0.1315000057220459,0.15080000460147858,0.13650000095367432,0.10090000182390213,0.0608999989926815,0.0596500001847744,0.08209999650716782,0.1628500074148178,-0.2488563818773657,0.23488152955795644,Semey,0.48373791575431824,1,50.485612704012624,80.84100786126963,"{""type"":""Point"",""coordinates"":[80.84100786126963,50.485612704012624]}"
1_377,0.15060000121593475,0.14980000257492065,0.1598999947309494,0.10935000330209732,0.06599999964237213,0.05530000105500221,0.08980000019073486,0.149849995970726,-0.28073686810526627,0.1562499721537424,Semey,0.4369868338108063,1,50.55522883360923,80.6798867405646,"{""type"":""Point"",""coordinates"":[80.6798867405646,50.55522883360923]}"
