system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,latitude,longitude,.geo
2_1_617,0.1785999983549118,0.2655999958515167,0.20350000262260437,0.17990000545978546,0.05544999986886978,0.08320000022649765,0.07569999992847443,0.16940000653266907,-0.4577363951518923,-0.03006011613690758,Karkaraly,0.4276762902736664,1,49.198325141736426,75.3785834126624,"{""type"":""Point"",""coordinates"":[75.3785834126624,49.198325141736426]}"
2_1_618,0.20024999976158142,0.2556999921798706,0.22824999690055847,0.155799999833107,0.04129999876022339,0.08190000057220459,0.0726500004529953,0.20819999277591705,-0.517115313446597,0.14395602749116923,Karkaraly,0.6610713601112366,1,49.20534012463355,75.39443057048099,"{""type"":""Point"",""coordinates"":[75.39443057048099,49.20534012463355]}"
2_1_619,0.29144999384880066,0.24699999392032623,0.24214999377727509,0.12720000743865967,0.07050000131130219,0.06539999693632126,0.1501999944448471,0.33719998598098755,-0.23435708447217302,0.45219634263122166,Karkaraly,0.686553418636322,1,49.20196925269701,75.41757378773436,"{""type"":""Point"",""coordinates"":[75.41757378773436,49.20196925269701]}"
2_1_620,0.20640000700950623,0.25049999356269836,0.20624999701976776,0.17249999940395355,0.059450000524520874,0.0868000015616417,0.09364999830722809,0.16940000653266907,-0.37545848771943563,-0.009066957640998477,Karkaraly,0.36639153957366943,1,49.206464643882306,75.38680968662977,"{""type"":""Point"",""coordinates"":[75.38680968662977,49.206464643882306]}"
2_1_629,0.19769999384880066,0.26460000872612,0.21310000121593475,0.1793999969959259,0.055399999022483826,0.07890000194311142,0.0868000015616417,0.17730000615119934,-0.42114037507350277,-0.005887274533777887,Karkaraly,0.4152531027793884,1,49.193607980282664,75.37577600625983,"{""type"":""Point"",""coordinates"":[75.37577600625983,49.193607980282664]}"
2_1_632,0.23454999923706055,0.2653000056743622,0.24365000426769257,0.17520000040531158,0.04964999854564667,0.07159999758005142,0.08874999731779099,0.1914999932050705,-0.4660048321632328,0.04445048563888882,Karkaraly,0.510455310344696,1,49.21122855796025,75.44072600044757,"{""type"":""Point"",""coordinates"":[75.44072600044757,49.21122855796025]}"
2_1_642,0.23964999616146088,0.28029999136924744,0.2561500072479248,0.21299999952316284,0.07339999824762344,0.08659999817609787,0.11559999734163284,0.17419999837875366,-0.3780766864050766,-0.10020661506883012,Karkaraly,0.2778700590133667,1,49.19203581022818,75.39003670027395,"{""type"":""Point"",""coordinates"":[75.39003670027395,49.19203581022818]}"
2_1_647,0.23755000531673431,0.2727000117301941,0.25279998779296875,0.20579999685287476,0.08055000007152557,0.08619999885559082,0.11919999867677689,0.17399999499320984,-0.3591397687511943,-0.08372828473506654,Karkaraly,0.2754114866256714,1,49.2023105357533,75.36386963630585,"{""type"":""Point"",""coordinates"":[75.36386963630585,49.2023105357533]}"
2_1_651,0.24824999272823334,0.2784000039100647,0.25450000166893005,0.20260000228881836,0.07069999724626541,0.08179999887943268,0.10984999686479568,0.1843000054359436,-0.3970083858549679,-0.04729903460196685,Karkaraly,0.3497093617916107,1,49.19299096355514,75.36090519679485,"{""type"":""Point"",""coordinates"":[75.36090519679485,49.19299096355514]}"
2_1_653,0.2567000091075897,0.2402999997138977,0.24690000712871552,0.11869999766349792,0.06015000119805336,0.052299998700618744,0.1091499999165535,0.3296999931335449,-0.38688387722640366,0.4705619977712063,Karkaraly,0.8574458956718445,1,49.19870937935734,75.41693568026649,"{""type"":""Point"",""coordinates"":[75.41693568026649,49.19870937935734]}"
2_1_656,0.24459999799728394,0.2768999934196472,0.2492000013589859,0.1890999972820282,0.06469999998807907,0.09030000120401382,0.10740000009536743,0.186599999666214,-0.3976444214394363,-0.006654239116639167,Karkaraly,0.39099016785621643,1,49.207183147801885,75.40470013822744,"{""type"":""Point"",""coordinates"":[75.40470013822744,49.207183147801885]}"
2_1_670,0.21334999799728394,0.2840000092983246,0.23205000162124634,0.19820000231266022,0.06525000184774399,0.09589999914169312,0.09920000284910202,0.17820000648498535,-0.4010565946544351,-0.05313495047877897,Karkaraly,0.3479216396808624,1,49.19860513404989,75.37737615264751,"{""type"":""Point"",""coordinates"":[75.37737615264751,49.19860513404989]}"
2_1_672,0.1809999942779541,0.23549999296665192,0.19249999523162842,0.1589999943971634,0.03830000013113022,0.07410000264644623,0.07034999877214432,0.18860000371932983,-0.46471371217809826,0.08515537825821971,Karkaraly,0.5498691201210022,1,49.22257816316947,75.39301857247607,"{""type"":""Point"",""coordinates"":[75.39301857247607,49.22257816316947]}"
2_1_675,0.2644999921321869,0.30149999260902405,0.2617500126361847,0.2142000049352646,0.08789999783039093,0.09759999811649323,0.12484999746084213,0.18700000643730164,-0.3541128080699846,-0.06779660450384242,Karkaraly,0.2863162159919739,1,49.18518012734354,75.32613629942118,"{""type"":""Point"",""coordinates"":[75.32613629942118,49.18518012734354]}"
2_1_677,0.22654999792575836,0.27889999747276306,0.24214999377727509,0.18729999661445618,0.052949998527765274,0.07859999686479568,0.09364999830722809,0.18790000677108765,-0.4422275133129764,0.0015991741770186446,Karkaraly,0.44382667541503906,1,49.19958669120395,75.32593165404663,"{""type"":""Point"",""coordinates"":[75.32593165404663,49.19958669120395]}"
2_1_681,0.17329999804496765,0.26785001158714294,0.19155000150203705,0.1889999955892563,0.03545000031590462,0.08250000327825546,0.06655000150203705,0.17624999582767487,-0.4843084019569999,-0.034907597703479086,Karkaraly,0.44940081238746643,1,49.21118454364958,75.4194187896873,"{""type"":""Point"",""coordinates"":[75.4194187896873,49.21118454364958]}"
2_1_685,0.23845000565052032,0.25529998540878296,0.241799995303154,0.1687999963760376,0.06445000320672989,0.0737999975681305,0.10525000095367432,0.17270000278949738,-0.3934591437033995,0.011420223786206603,Karkaraly,0.4048793613910675,1,49.20808832054862,75.43079050176704,"{""type"":""Point"",""coordinates"":[75.43079050176704,49.20808832054862]}"
2_1_686,0.19050000607967377,0.2655999958515167,0.20514999330043793,0.193900004029274,0.06094999983906746,0.09179999679327011,0.08720000088214874,0.17399999499320984,-0.4034547452209755,-0.05409081024446532,Karkaraly,0.34936392307281494,1,49.21495722597707,75.41937307153911,"{""type"":""Point"",""coordinates"":[75.41937307153911,49.21495722597707]}"
