system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,.geo
1_2,0.1949000060558319,0.26159998774528503,0.21244999766349792,0.19020000100135803,0.05544999986886978,0.08229999989271164,0.08465000241994858,0.16680000722408295,-0.430158179763225,-0.06554619954657896,Karkaraly,0.36461198329925537,1,"{""type"":""Point"",""coordinates"":[75.34705593197664,49.196784760258865]}"
1_3,0.17835000157356262,0.2653000056743622,0.20444999635219574,0.1785999983549118,0.05139999836683273,0.07890000194311142,0.07644999772310257,0.164900004863739,-0.4556781820179796,-0.03988353235167868,Karkaraly,0.41579464077949524,1,"{""type"":""Point"",""coordinates"":[75.3683042809411,49.20383441328657]}"
1_8,0.19939999282360077,0.23589999973773956,0.2089499980211258,0.16040000319480896,0.08924999833106995,0.09600000083446503,0.1062999963760376,0.19609999656677246,-0.325614602599377,0.10014023392942158,Karkaraly,0.4257548451423645,1,"{""type"":""Point"",""coordinates"":[75.40461920675881,49.198914560310335]}"
1_11,0.2092999964952469,0.2554999887943268,0.20305000245571136,0.18050000071525574,0.06565000116825104,0.09070000052452087,0.10495000332593918,0.1851000040769577,-0.31850648470220455,0.012582065922882987,Karkaraly,0.3310885429382324,1,"{""type"":""Point"",""coordinates"":[75.39163160725259,49.22229753668202]}"
1_12,0.21205000579357147,0.2833000123500824,0.22374999523162842,0.2013999968767166,0.0710500031709671,0.09369999915361404,0.09809999912977219,0.17170000076293945,-0.3903992490388728,-0.07960331359332179,Karkaraly,0.31079593300819397,1,"{""type"":""Point"",""coordinates"":[75.36887967214355,49.195693563683015]}"
1_14,0.16654999554157257,0.24969999492168427,0.19085000455379486,0.15109999477863312,0.04149999842047691,0.07750000059604645,0.06870000064373016,0.2402999997138977,-0.4706222364245573,0.22789986252022498,Karkaraly,0.6985220909118652,1,"{""type"":""Point"",""coordinates"":[75.3626931805511,49.199269032171365]}"
1_18,0.22920000553131104,0.2337999939918518,0.22679999470710754,0.1468999981880188,0.07069999724626541,0.07909999787807465,0.10570000112056732,0.24410000443458557,-0.36421051159742823,0.2485933646920837,Karkaraly,0.6128038763999939,1,"{""type"":""Point"",""coordinates"":[75.4177373860343,49.19215078557589]}"
1_19,0.2032500058412552,0.2678999900817871,0.22210000455379486,0.1876000016927719,0.056299999356269836,0.07959999889135361,0.08415000140666962,0.16910000145435333,-0.45044898110119214,-0.051864311957373406,Karkaraly,0.39858466386795044,1,"{""type"":""Point"",""coordinates"":[75.33980077336246,49.192969188552176]}"
1_20,0.2614000141620636,0.2847999930381775,0.2442999929189682,0.20080000162124634,0.07415000349283218,0.09239999949932098,0.12094999849796295,0.19280000030994415,-0.3377138872542828,-0.020325206483867733,Karkaraly,0.3173886835575104,1,"{""type"":""Point"",""coordinates"":[75.32200514231369,49.18212779902731]}"
1_23,0.1732500046491623,0.2000499963760376,0.19020000100135803,0.09969999641180038,0.03999999910593033,0.040150001645088196,0.06920000165700912,0.3447999954223633,-0.46646105668590654,0.551406082144555,Karkaraly,1.017867088317871,1,"{""type"":""Point"",""coordinates"":[75.41563253672003,49.19059939443682]}"
1_25,0.2085999995470047,0.27619999647140503,0.2215999960899353,0.2004999965429306,0.05469999834895134,0.08560000360012054,0.09109999984502792,0.18310000002384186,-0.41733290035619114,-0.045359741070956874,Karkaraly,0.3719731569290161,1,"{""type"":""Point"",""coordinates"":[75.38379484974621,49.20941717677348]}"
1_26,0.2261500060558319,0.25429999828338623,0.22059999406337738,0.15369999408721924,0.05119999870657921,0.08250000327825546,0.1005999967455864,0.21979999542236328,-0.37359900607581875,0.17697457347170334,Karkaraly,0.5505735874176025,1,"{""type"":""Point"",""coordinates"":[75.37788786821602,49.223749770572326]}"
1_27,0.22265000641345978,0.27239999175071716,0.2357500046491623,0.19629999995231628,0.06520000100135803,0.0860000029206276,0.10209999978542328,0.17219999432563782,-0.3955897679723615,-0.0654002876550934,Karkaraly,0.33018946647644043,1,"{""type"":""Point"",""coordinates"":[75.38913703190559,49.19727966609336]}"
1_28,0.19939999282360077,0.27649998664855957,0.22505000233650208,0.19609999656677246,0.053300000727176666,0.08739999681711197,0.0831499993801117,0.17090000212192535,-0.4604153217587122,-0.06866483524492495,Karkaraly,0.3917504847049713,1,"{""type"":""Point"",""coordinates"":[75.40185979240458,49.198941618960184]}"
